run,thisN,thisTrialN,thisRepN,scene_stimulus,scene_cat,scene_label,item_stimulus,item_cat,item_type,congruency,key_resp_congruency.keys,key_resp_congruency.corr,key_resp_congruency.rt,key_resp_congruency.duration,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,between_run_inst.thisRepN,between_run_inst.thisTrialN,between_run_inst.thisN,between_run_inst.thisIndex,thisRow.t,notes,piloting,get_relatedness_keys.started,get_relatedness_keys.stopped,instructions_screen.started,text_instructions.started,key_welcome.started,instructions_screen.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,instruction_keys.started,text_keys.started,key_resp_keysInst.started,instruction_keys.stopped,key_resp_keysInst.keys,key_resp_keysInst.rt,key_resp_keysInst.duration,scene_names_reminder.started,text_reminder.started,image1.started,image2.started,image3.started,image4.started,textbox1.started,textbox2.started,textbox3.started,textbox4.started,key_reminder.started,scene_names_reminder.stopped,key_reminder.keys,key_reminder.rt,key_reminder.duration,blank2000.started,text_2.started,text_2.stopped,blank2000.stopped,get_run_stim_list.started,get_run_stim_list.stopped,scene_item_presentation.started,image_scene.started,image_item.started,scene_item_presentation.stopped,congruency_response.started,text_congruency.started,key_resp_congruency.started,text_congruency.stopped,key_resp_congruency.stopped,congruency_response.stopped,trials.key_resp_congruency.keys,trials.key_resp_congruency.corr,blank1000.started,text.started,text.stopped,blank1000.stopped,trials.key_resp_congruency.rt,trials.key_resp_congruency.duration,is_last_run.started,is_last_run.stopped,between_run_pause.started,text_run_pause.started,text_relatedness_pause.started,key_resp_next_run.started,between_run_pause.stopped,between_run_inst.key_resp_next_run.keys,between_run_inst.key_resp_next_run.rt,between_run_inst.key_resp_next_run.duration,image_scene.stopped,image_item.stopped,end_screen.started,text_end.started,key_end.started,key_end.stopped,text_end.stopped,end_screen.stopped,key_end.keys,participant,session,delay,group,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.002030799980275333,0.002354099997319281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002381899976171553,0.006564399984199554,0.9979365000035614,27.203136700030882,space,26.189516599988565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.229101500008255,27.231839300016873,27.231839300016873,76.68298199999845,space,49.442508100008126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.88944180001272,76.96743910002988,76.96743910002988,76.96743910002988,76.96743910002988,76.96743910002988,76.96743910002988,76.96743910002988,76.96743910002988,76.96743910002988,78.67418789997464,102.85856469999999,space,24.176879499980714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.85860749997664,102.86606460000621,104.95736409997335,104.84991240000818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,0,0,0,stimuli/scenes/scene_U2.jpg,Undersea,Tulon,stimuli/items/undersea_object_15.png,Undersea,object,sc,None,0,,,0,0,0,0,0,0,0,0,,,,,104.95736409997335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.86273130000336,104.86297030001879,104.94721200002823,104.95736409997335,104.95736409997335,106.86683190002805,106.87031480000587,106.874356299988,106.874356299988,107.86591350001981,107.86591350001981,107.8581683000084,None,0,107.8582159000216,107.86591350001981,108.89900430000853,108.850071199995,,,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,1,1,0,stimuli/scenes/scene_J1.jpg,Jungle,Malbow,stimuli/items/jungle_object_8.png,Jungle,object,sc,p,1,0.6489080999745056,None,0,0,0,0,0,1,1,1,,,,,108.89900430000853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.88980669999728,108.89900430000853,108.89900430000853,110.86669290001737,110.86673880001763,110.87447440001415,110.87447440001415,,,111.52519110002322,p,1,111.52525030000834,111.53262000001268,112.56578960001934,112.51679520000471,0.6489080999745056,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,2,2,0,stimuli/scenes/scene_U1.jpg,Undersea,Negvi,stimuli/items/jungle_object_3.png,Jungle,object,si,q,1,0.7345180999836884,None,0,0,0,0,0,2,2,2,,,,,112.56578960001934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.55902729998343,112.56578960001934,112.56578960001934,114.52560579997953,114.52570260001812,114.5327099999995,114.5327099999995,,,115.27569999999832,q,1,115.27575919998344,115.2830950000207,116.31502089998685,116.26656760001788,0.7345180999836884,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,3,3,0,stimuli/scenes/scene_J2.jpg,Jungle,Somar,stimuli/items/undersea_animal_15.png,Undersea,animal,si,p,0,0.6078805000288412,None,0,0,0,0,0,3,3,3,,,,,116.31502089998685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.30344079999486,116.31502089998685,116.31502089998685,118.28370730002644,118.28379680000944,118.29099469998619,118.29099469998619,,,118.90013919997727,p,0,118.90019760001451,118.90789129998302,119.93037999997614,119.89185070001986,0.6078805000288412,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,4,4,0,stimuli/scenes/scene_U1.jpg,Undersea,Negvi,stimuli/items/jungle_animal_5.png,Jungle,animal,si,q,1,0.6872040000162087,None,0,0,0,0,0,4,4,4,,,,,119.93037999997614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.91887839999981,119.93037999997614,119.93037999997614,121.90031449997332,121.90036099997815,121.90807980002137,121.90807980002137,,,122.60028379998403,q,1,122.60034320002887,122.60817760002101,123.63311019999674,123.59185730002355,0.6872040000162087,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,5,5,0,stimuli/scenes/scene_J2.jpg,Jungle,Somar,stimuli/items/jungle_animal_11.png,Jungle,animal,sc,q,0,0.7545958000118844,None,0,0,0,0,0,5,5,5,,,,,123.63311019999674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.62618650001241,123.63311019999674,123.63311019999674,125.60845230001723,125.60849750001216,125.61632899998222,125.61632899998222,,,126.3750546000083,q,0,126.37511510000331,126.38302680000197,127.4135025999858,127.36690359999193,0.7545958000118844,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,6,6,0,stimuli/scenes/scene_U1.jpg,Undersea,Negvi,stimuli/items/undersea_animal_9.png,Undersea,animal,sc,p,1,0.6681314000161365,None,0,0,0,0,0,6,6,6,,,,,127.4135025999858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.40202909999061,127.4135025999858,127.4135025999858,129.37557450000895,129.37565679999534,129.38307919999352,129.38307919999352,,,130.0588511999813,p,1,130.05890930001624,130.06638420000672,131.0993765000021,131.05012299999362,0.6681314000161365,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,7,7,0,stimuli/scenes/scene_J1.jpg,Jungle,Malbow,stimuli/items/undersea_animal_14.png,Undersea,animal,si,q,1,0.6483382000005804,None,0,0,0,0,0,7,7,7,,,,,131.0993765000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0897179999738,131.0993765000021,131.0993765000021,133.05914859997574,133.05919330002507,133.0667920000269,133.0667920000269,,,133.7171577999834,q,1,133.71721620002063,133.72482369997306,134.7410486000008,134.70870999997715,0.6483382000005804,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,8,8,0,stimuli/scenes/scene_U1.jpg,Undersea,Negvi,stimuli/items/jungle_animal_18.png,Jungle,animal,si,q,1,0.6144103000406176,None,0,0,0,0,0,8,8,8,,,,,134.7410486000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.73238569998648,134.7410486000008,134.7410486000008,136.7254399000085,136.72549310000613,136.7329203999834,136.7329203999834,,,137.35053489997517,q,1,137.3505938000162,137.35804239998106,138.3992957000155,138.34192889998667,0.6144103000406176,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,9,9,0,stimuli/scenes/scene_J2.jpg,Jungle,Somar,stimuli/items/jungle_object_6.png,Jungle,object,sc,p,1,0.5477661999757402,None,0,0,0,0,0,9,9,9,,,,,138.3992957000155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.38750110002002,138.3992957000155,138.3992957000155,140.35870869999053,140.35875409998698,140.36671750003006,140.36671750003006,,,140.91744240000844,p,1,140.91750400001183,140.92483179998817,141.95611239998834,141.9086346999975,0.5477661999757402,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,10,10,0,stimuli/scenes/scene_U1.jpg,Undersea,Negvi,stimuli/items/undersea_animal_16.png,Undersea,animal,sc,q,0,0.59724269999424,None,0,0,0,0,0,10,10,10,,,,,141.95611239998834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.94450510002207,141.95611239998834,141.95611239998834,143.92571959999623,143.92581520002568,143.93336259998614,143.93336259998614,,,144.53387290000683,q,0,144.53393159998814,144.54169440001715,145.583290199982,145.52532840002095,0.59724269999424,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,11,11,0,stimuli/scenes/scene_U2.jpg,Undersea,Tulon,stimuli/items/undersea_object_13.png,Undersea,object,sc,q,0,0.7336315999855287,None,0,0,0,0,0,11,11,11,,,,,145.583290199982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.57587659999263,145.583290199982,145.583290199982,147.53401180001674,147.53405790001852,147.54154950001976,147.54154950001976,,,148.28394250001293,q,0,148.28400139999576,148.2918084000121,149.3245176000055,149.27591259998735,0.7336315999855287,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,12,12,0,stimuli/scenes/scene_J1.jpg,Jungle,Malbow,stimuli/items/jungle_animal_14.png,Jungle,animal,sc,p,1,0.6955618999782018,None,0,0,0,0,0,12,12,12,,,,,149.3245176000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.31387130002258,149.3245176000055,149.3245176000055,151.2844608000014,151.2845582999871,151.29177690000506,151.29177690000506,,,151.99262149998685,p,1,151.99267950002104,152.00011860002996,153.02518370002508,152.98363769997377,0.6955618999782018,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,13,13,0,stimuli/scenes/scene_U2.jpg,Undersea,Tulon,stimuli/items/undersea_animal_20.png,Undersea,animal,sc,p,1,0.6902725999825634,None,0,0,0,0,0,13,13,13,,,,,153.02518370002508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.01844680000795,153.02518370002508,153.02518370002508,155.0009383999859,155.00103300000774,155.00836300000083,155.00836300000083,,,155.7004896000144,p,1,155.70054799999343,155.70847339998,156.73382279998623,156.69208120001713,0.6902725999825634,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,14,14,0,stimuli/scenes/scene_J2.jpg,Jungle,Somar,stimuli/items/undersea_object_14.png,Undersea,object,si,q,1,0.7827797000063583,None,0,0,0,0,0,14,14,14,,,,,156.73382279998623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.72764050000114,156.73382279998623,156.73382279998623,158.70121520000976,158.70133040001383,158.70842169999378,158.70842169999378,,,159.4924351000227,q,1,159.49249690002762,159.5000762999989,160.53376780002145,160.48387320002075,0.7827797000063583,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,15,15,0,stimuli/scenes/scene_J1.jpg,Jungle,Malbow,stimuli/items/jungle_animal_12.png,Jungle,animal,sc,p,1,0.7744055999792181,None,0,0,0,0,0,15,15,15,,,,,160.53376780002145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.5262016999768,160.53376780002145,160.53376780002145,162.50063770002453,162.5006838000263,162.5082698999904,162.5082698999904,,,163.28448049997678,p,1,163.28453960001934,163.29187309998088,164.31708290003007,164.2759644999751,0.7744055999792181,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,16,16,0,stimuli/scenes/scene_J2.jpg,Jungle,Somar,stimuli/items/jungle_animal_16.png,Jungle,animal,sc,p,1,0.951186099962797,None,0,0,0,0,0,16,16,16,,,,,164.31708290003007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.3096038000076,164.31708290003007,164.31708290003007,166.29277980001643,166.29282430000603,166.30011299997568,166.30011299997568,,,167.25919499999145,p,1,167.25926650001202,167.26675780001096,168.2996597000165,168.2509190000128,0.951186099962797,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,17,17,0,stimuli/scenes/scene_U1.jpg,Undersea,Negvi,stimuli/items/undersea_object_2.png,Undersea,object,sc,p,1,0.8396457000053488,None,0,0,0,0,0,17,17,17,,,,,168.2996597000165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.2903899999801,168.2996597000165,168.2996597000165,170.25951090001035,170.25960739998845,170.26699049997842,170.26699049997842,,,171.10939739999594,p,1,171.10945739998715,171.11725020001177,172.14991340000415,172.1005135999876,0.8396457000053488,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,18,18,0,stimuli/scenes/scene_J2.jpg,Jungle,Somar,stimuli/items/undersea_animal_4.png,Undersea,animal,si,q,1,0.5572730000130832,None,0,0,0,0,0,18,18,18,,,,,172.14991340000415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.13872280000942,172.14991340000415,172.14991340000415,174.10974829999031,174.1098270000075,174.1171548999846,174.1171548999846,,,174.67596989998128,q,1,174.6760294000269,174.683578199998,175.71702909999294,175.66739070002222,0.5572730000130832,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,19,19,0,stimuli/scenes/scene_U2.jpg,Undersea,Tulon,stimuli/items/jungle_object_13.png,Jungle,object,si,q,1,0.6153622000128962,None,0,0,0,0,0,19,19,19,,,,,175.71702909999294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.7098184999777,175.71702909999294,175.71702909999294,177.6841769000166,177.6842257999815,177.69196550000925,177.69196550000925,,,178.30948240001453,q,1,178.3095438000164,178.31703460001154,179.34180350002134,179.30107769998722,0.6153622000128962,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,20,20,0,stimuli/scenes/scene_J2.jpg,Jungle,Somar,stimuli/items/jungle_object_16.png,Jungle,object,sc,p,1,0.6861482000094838,None,0,0,0,0,0,20,20,20,,,,,179.34180350002134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.3321340000257,179.34180350002134,179.34180350002134,181.30988130002515,181.3099820999778,181.31700119999005,181.31700119999005,,,182.00978860002942,p,1,182.00984670000616,182.01715500000864,183.0584837999777,183.00088649999816,0.6861482000094838,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,21,21,0,stimuli/scenes/scene_U2.jpg,Undersea,Tulon,stimuli/items/jungle_object_1.png,Jungle,object,si,q,1,0.5455689000082202,None,0,0,0,0,0,21,21,21,,,,,183.0584837999777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.04883879999397,183.0584837999777,183.0584837999777,185.01782349997666,185.0178691999754,185.02529650001088,185.02529650001088,,,185.5763666999992,q,1,185.57642639998812,185.58379350003088,186.6221884000115,186.567300900002,0.5455689000082202,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,22,22,0,stimuli/scenes/scene_U1.jpg,Undersea,Negvi,stimuli/items/undersea_object_6.png,Undersea,object,sc,p,1,0.3551619999925606,None,0,0,0,0,0,22,22,22,,,,,186.6221884000115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.611778600025,186.6221884000115,186.6221884000115,188.5849466000218,188.58499250002205,188.5922323000268,188.5922323000268,,,188.95122300001094,p,1,188.95128280000063,188.9588892000029,189.98937109997496,189.9425842000055,0.3551619999925606,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,23,23,0,stimuli/scenes/scene_U2.jpg,Undersea,Tulon,stimuli/items/undersea_object_10.png,Undersea,object,sc,p,1,0.3001249000080861,None,0,0,0,0,0,23,23,23,,,,,189.98937109997496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.97901569999522,189.98937109997496,189.98937109997496,191.95166540000355,191.95177149999654,191.9590852999827,191.9590852999827,,,192.26849550002953,p,1,192.26855109998723,192.2754129000241,193.30036870000185,193.2593174999929,0.3001249000080861,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,24,24,0,stimuli/scenes/scene_U1.jpg,Undersea,Negvi,stimuli/items/undersea_object_9.png,Undersea,object,sc,q,0,0.6232367000193335,None,0,0,0,0,0,24,24,24,,,,,193.30036870000185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.29172209999524,193.30036870000185,193.30036870000185,195.27647310000611,195.2765184000018,195.2839166999911,195.2839166999911,,,195.9097612000187,q,0,195.9098207000061,195.91733650001697,196.96529129997361,196.90124269999797,0.6232367000193335,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,25,25,0,stimuli/scenes/scene_J2.jpg,Jungle,Somar,stimuli/items/jungle_object_12.png,Jungle,object,sc,p,1,0.3887673999997787,None,0,0,0,0,0,25,25,25,,,,,196.96529129997361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.9535526999971,196.96529129997361,196.96529129997361,198.91846930002794,198.91856680001365,198.92611489997944,198.92611489997944,,,199.3184727000189,p,1,199.3185327000101,199.32565640000394,200.3593714000308,200.3093769000261,0.3887673999997787,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,26,26,0,stimuli/scenes/scene_U2.jpg,Undersea,Tulon,stimuli/items/jungle_animal_19.png,Jungle,animal,si,q,1,0.5647100000060163,None,0,0,0,0,0,26,26,26,,,,,200.3593714000308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.35340840002755,200.3593714000308,200.3593714000308,202.3266508000088,202.3266968000098,202.3340519000194,202.3340519000194,,,202.9013473999803,q,1,202.90140759997303,202.9091260000132,203.92607450002106,203.8930833999766,0.5647100000060163,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,27,27,0,stimuli/scenes/scene_J2.jpg,Jungle,Somar,stimuli/items/jungle_object_4.png,Jungle,object,sc,p,1,0.5421869999845512,None,0,0,0,0,0,27,27,27,,,,,203.92607450002106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.91894300002605,203.92607450002106,203.92607450002106,205.90171679999912,205.90178389998619,205.90909630001988,205.90909630001988,,,206.45201230002567,p,1,206.4520733000245,206.45899120002287,207.4921570000006,207.4428929000278,0.5421869999845512,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,28,28,0,stimuli/scenes/scene_J1.jpg,Jungle,Malbow,stimuli/items/undersea_animal_19.png,Undersea,animal,si,q,1,0.40762770001310855,None,0,0,0,0,0,28,28,28,,,,,207.4921570000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.48149929998908,207.4921570000006,207.4921570000006,209.4600082000252,209.4600532000186,209.46769850002602,209.46769850002602,,,209.87662440002896,q,1,209.87668420001864,209.88413750001928,210.91649590001907,210.86808290000772,0.40762770001310855,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,29,29,0,stimuli/scenes/scene_U2.jpg,Undersea,Tulon,stimuli/items/jungle_animal_15.png,Jungle,animal,si,q,1,0.47906139999395236,None,0,0,0,0,0,29,29,29,,,,,210.91649590001907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.9061600000132,210.91649590001907,210.91649590001907,212.8768357000081,212.87693909998052,212.88434140000027,212.88434140000027,,,213.36828420002712,q,1,213.36836480000056,213.37594489997718,214.40943270002026,214.35938650002936,0.47906139999395236,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,30,30,0,stimuli/scenes/scene_U1.jpg,Undersea,Negvi,stimuli/items/undersea_animal_6.png,Undersea,animal,sc,p,1,0.3062559000100009,None,0,0,0,0,0,30,30,30,,,,,214.40943270002026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.40315600001486,214.40943270002026,214.40943270002026,216.37682990002213,216.37687380000716,216.3846042000223,216.3846042000223,,,216.69335740001407,p,1,216.6934162999969,216.7011993000051,217.73362000001362,217.68471880001016,0.3062559000100009,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,31,31,0,stimuli/scenes/scene_J1.jpg,Jungle,Malbow,stimuli/items/undersea_object_1.png,Undersea,object,si,q,1,0.9011521000065841,None,0,0,0,0,0,31,31,31,,,,,217.73362000001362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.7242474000086,217.73362000001362,217.73362000001362,219.70203829999082,219.70210370002314,219.70927920000395,219.70927920000395,,,220.61824610002805,q,1,220.61830949998694,220.62595820002025,221.64250419999007,221.60974919999717,0.9011521000065841,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
1,32,32,0,stimuli/scenes/scene_U2.jpg,Undersea,Tulon,stimuli/items/jungle_animal_13.png,Jungle,animal,si,q,1,0.6409371999907307,None,0,0,0,0,0,32,32,32,,,,,221.64250419999007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.6360960000311,221.64250419999007,221.64250419999007,223.6265301000094,223.62657959997887,223.6343156999792,223.6343156999792,,,224.27659560000757,q,1,224.2766544999904,224.28481639997335,225.30914670001948,225.2684019000153,0.6409371999907307,None,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_14h05.35.427,SBL_superimposed_encoding,,2026.1.3,120.31971351195838,2026-07-09 14h05.35.614754 -0400,
